pickle,k,n,reported_gap,reported_lp,reported_ilp,recomputed_lp,recomputed_ilp,proved_optimal,mip_gap,best_bound,recomputed_gap,caoduro_baseline,delta_caoduro,delta_reported,max_clique,verdict,wall_time_s,notes
elites_above_threshold/k13_extend_t18_gap1.7578.pkl,13,676,1.7578125,337.5,192.0,337.5,206.0,True,0.0,206.0,1.6383495145631068,1.6407766990291262,-0.0024271844660193054,-0.11946298543689315,3,REVISED_DOWN,3315.3682889938354,reported 1.7578 → recomputed 1.6383 (-0.1195)
elites_above_threshold/k13_extend_t19_gap1.7132.pkl,13,676,1.7131979695431472,337.5,197.0,337.5,206.0,True,0.0,206.0,1.6383495145631068,1.6407766990291262,-0.0024271844660193054,-0.07484845498004034,3,REVISED_DOWN,5082.68917298317,reported 1.7132 → recomputed 1.6383 (-0.0748)
elites_above_threshold/k13_extend_t3_gap1.6439.pkl,13,676,1.6439024390243901,337.0,205.0,337.0,205.0,True,0.0,205.0,1.6439024390243901,1.6407766990291262,0.0031257399952639986,0.0,4,VERIFIED,4410.260957241058,
elites_above_threshold/k13_extend_t5_gap1.6463.pkl,13,676,1.646341463414634,337.5,205.0,337.5,205.0,True,0.0,205.0,1.646341463414634,1.6407766990291262,0.005564764385507903,0.0,3,VERIFIED,3122.3056230545044,
